strategy,trial,params,valid_auc,valid_logloss,valid_f1,valid_stage_score,weights_json
weighted_blend,713,,0.8575323337800316,0.4357843139389753,0.6805231805231805,0.6545617911012259,"[0.4150747065610703, 0.3051887770712587, 0.20729764359787492, 0.017983745974456754, 0.02214256352718973, 0.013490874104948362, 0.018821689163201184]"
weighted_blend,1283,,0.8575481836615256,0.4357154825490475,0.6800259403372244,0.654551236927776,"[0.2788142006504557, 0.2312237658283421, 0.346276906334591, 0.02316952237257366, 0.02734262963069666, 0.07739318194605059, 0.01577979323729048]"
weighted_blend,4404,,0.8574505400265491,0.43552878959540053,0.679794631832066,0.6545495820845787,"[0.11473655675294701, 0.16838241183393507, 0.5123211693705316, 0.047686144039252885, 0.09511573027191467, 0.059276084473262, 0.0024819032581567223]"
weighted_blend,2923,,0.8573966295170367,0.43542856609881586,0.6796646519789432,0.654546331044707,"[0.025126217913332624, 0.09075397243936967, 0.7045351187447764, 0.045215349556517875, 0.1263436020018114, 0.007590982953114202, 0.0004347563910780258]"
weighted_blend,4680,,0.8575350436828049,0.43561742113246954,0.6795788379045886,0.6545396745757646,"[0.1901046003276694, 0.003311015269212126, 0.6287915210852748, 0.018626842908057214, 0.091497984998979, 0.050672543842066944, 0.016995491568740445]"
weighted_blend,6841,,0.8574673222540135,0.435561941422227,0.6796935860815373,0.6545280011706851,"[0.21211665039172276, 0.24786334196396365, 0.3590414012923305, 0.037030565383583965, 0.0468122874325368, 0.09598656516750668, 0.001149188368355772]"
weighted_blend,1643,,0.8575119790119338,0.4360515725664552,0.6816770186335404,0.6545274310104462,"[0.09588643839864451, 0.005173667720898806, 0.5706283210299614, 0.24899427162461665, 0.016506748922368943, 0.029970948938910356, 0.032839603364599484]"
weighted_blend,3708,,0.857486814384251,0.43574827065283955,0.680329463648745,0.654512444474575,"[0.04995111757251539, 0.03555856404538134, 0.6943705686070589, 0.10707135104528566, 0.07040674297953033, 0.018807072118306317, 0.023834583631922177]"
weighted_blend,4385,,0.8574443795723345,0.4358445536340911,0.681052358735096,0.6545110458387352,"[0.2938040835787552, 0.15670656433623759, 0.2691232453241108, 0.1711917086305683, 0.021731139893095268, 0.07747457623505398, 0.009968682002178852]"
weighted_blend,1953,,0.8575318719638033,0.43562100100899614,0.679309001168983,0.6544935214328534,"[0.18478029232823617, 0.17467892697749524, 0.47249315472680103, 0.029549400459679645, 0.053971780187968936, 0.0710614480847781, 0.013464997235040972]"
weighted_blend,1686,,0.8575205443959406,0.4357685784695058,0.680064829821718,0.6544922639405443,"[0.15458932926059296, 0.21949152667676244, 0.416060638214426, 0.10236293190892666, 0.01636600960016682, 0.07340750312962621, 0.017722061209498964]"
weighted_blend,5976,,0.8573897545546951,0.43578604554014094,0.6809752301906368,0.654485807205192,"[0.49802338252221184, 0.19841406829198388, 0.10394747761970571, 0.09286167087906139, 0.039189729025865386, 0.06705570947387235, 0.0005079621872995432]"
weighted_blend,3363,,0.8574137080039679,0.4358831434295087,0.6811960822468703,0.6544749199403423,"[0.5516037593499571, 0.010804421129008217, 0.15785276187493769, 0.15377869536266414, 0.05569219380618772, 0.06457410637551286, 0.00569406210173212]"
