candidate_id,model,balance_strategy,rank_within_balance_strategy,trial,candidate_stage2_auc_mean,candidate_stage2_logloss_mean,candidate_stage2_f1_mean,candidate_stage2_score,params_json,calibration_method,calibration_accuracy,calibration_precision,calibration_recall,calibration_f1,calibration_auc,calibration_logloss,calibration_ece,test_accuracy_calibrated,test_precision_calibrated,test_recall_calibrated,test_f1_calibrated,test_auc_calibrated,test_logloss_calibrated,test_ece_calibrated,error,calibration_logloss_rank,calibration_ece_rank,test_logloss_rank,test_auc_rank,test_f1_rank,composite_rank
54,xgboost,base,2,108,0.8514630371684633,0.4425232760334628,0.6726966768854351,0.6423753836059652,"{""colsample_bytree"": 0.7163700117138441, ""gamma"": 1.773444122640711, ""learning_rate"": 0.11829732745654534, ""max_depth"": 4, ""min_child_weight"": 2, ""reg_lambda"": 0.01208092619163048, ""subsample"": 0.9651504321266501}",venn_abers,0.777846370932181,0.675830157866086,0.6515350301758068,0.6634602538410154,0.8544622946719197,0.4425227210037366,0.011532332523976554,0.7704925261254906,0.6531594276307459,0.6765477439664218,0.6646478963984279,0.8450872596213326,0.4516911244052261,0.012292836271853609,,87.0,70.0,12.0,24.0,130.0,64.6
67,catboost,classweights,1,321,0.8515741974004903,0.47400702839843206,0.7019475745978211,0.624825617721652,"{""depth"": 10, ""l2_leaf_reg"": 12.131662528106617, ""learning_rate"": 0.059190003339518564, ""random_strength"": 0.22183608067809546}",isotonic,0.7813740188729165,0.6658366533864541,0.7016531094200997,0.6832758400408842,0.8550808896502128,0.43972583707212437,0.014062763072281232,0.7692579037876449,0.6455619140387191,0.6954354669464848,0.6695712571825472,0.8449014160390566,0.4516472449709857,0.012519666684049928,,32.0,160.0,11.0,34.0,89.0,65.2
54,xgboost,base,2,108,0.8514630371684633,0.4425232760334628,0.6726966768854351,0.6423753836059652,"{""colsample_bytree"": 0.7163700117138441, ""gamma"": 1.773444122640711, ""learning_rate"": 0.11829732745654534, ""max_depth"": 4, ""min_child_weight"": 2, ""reg_lambda"": 0.01208092619163048, ""subsample"": 0.9651504321266501}",isotonic,0.7776699885351442,0.6756535947712419,0.6510102335345054,0.6631030335426967,0.8543654289794267,0.4432863866239117,0.011252800354722406,0.7704925261254906,0.6531982267257758,0.6764165792235047,0.6646046781364778,0.8450518264091476,0.4518777485065052,0.013389859489964831,,99.0,62.0,14.0,27.0,131.0,66.6
67,catboost,classweights,1,321,0.8515741974004903,0.47400702839843206,0.7019475745978211,0.624825617721652,"{""depth"": 10, ""l2_leaf_reg"": 12.131662528106617, ""learning_rate"": 0.059190003339518564, ""random_strength"": 0.22183608067809546}",venn_abers,0.7812858276743981,0.6656708986806075,0.7016531094200997,0.6831885539090444,0.8551936323930587,0.4395162070759699,0.015218563476666948,0.7692138101327219,0.6454833211589969,0.6954354669464848,0.6695289809319358,0.8449688410769467,0.4516228676980036,0.012163658103763365,,26.0,183.0,10.0,30.0,90.0,67.8
41,random_forest,base,1,156,0.8499886142565929,0.4447227934544402,0.6714990888733409,0.639170180891685,"{""max_depth"": 9, ""max_features"": 0.5388091141240144, ""min_samples_leaf"": 3, ""min_samples_split"": 25}",venn_abers,0.7809330628803245,0.660459492140266,0.7166098136971923,0.6873898817014851,0.8540079600663777,0.43963835061914797,0.011379069961842528,0.767758719520261,0.6409857638473502,0.7027806925498427,0.6704623662641557,0.8433589604817313,0.4535246636772528,0.013852853190913443,,30.0,66.0,55.0,118.0,80.0,69.8
95,lightgbm,smote_classweights,1,223,0.8503708462673831,0.4451775684772247,0.6808020781271388,0.640644808927449,"{""bagging_fraction"": 0.8781439114318209, ""feature_fraction"": 0.7203684217076677, ""learning_rate"": 0.15680062987844542, ""min_child_samples"": 36, ""min_split_gain"": 0.199397293333138, ""num_leaves"": 33, ""reg_lambda"": 27.565436506264657}",isotonic,0.7790810477114384,0.6541548630783758,0.7271057465232222,0.6887038647943333,0.854386621617439,0.4408440759194161,0.010992222600155909,0.769301997442568,0.6486083499005965,0.6846799580272823,0.666156202143951,0.8441048309050794,0.45356539671618146,0.017194562820997475,,56.0,53.0,57.0,70.0,116.0,70.4
41,random_forest,base,1,156,0.8499886142565929,0.4447227934544402,0.6714990888733409,0.639170180891685,"{""max_depth"": 9, ""max_features"": 0.5388091141240144, ""min_samples_leaf"": 3, ""min_samples_split"": 25}",base,0.7811976364758797,0.6680141485598787,0.6937811598005773,0.6806538808083409,0.8545715343553576,0.4385976747729562,0.009473825082192766,0.7664800035274923,0.6464519375943634,0.6739244491080797,0.6599023889031596,0.8435237898255539,0.45249557623508274,0.010518440555374936,,12.0,23.0,26.0,105.0,193.0,71.8
66,catboost,base,2,39,0.8517521347470375,0.4426062828452622,0.6729182609092647,0.6426453206092354,"{""depth"": 6, ""l2_leaf_reg"": 8.184654521840187, ""learning_rate"": 0.09501644902056357, ""random_strength"": 0.07272221221740943}",venn_abers,0.7795220037040304,0.6652382152760272,0.6924691681973235,0.6785806119825147,0.8550661280018605,0.4403827688147034,0.011823774861917989,0.769301997442568,0.6527848748083802,0.6702518363064008,0.6614030546207611,0.8447778267025803,0.452603860786165,0.01332329634913744,,43.0,84.0,28.0,37.0,174.0,73.2
93,lightgbm,smote,1,274,0.8503418001770219,0.445626250433606,0.6831523298442383,0.6406331201667438,"{""bagging_fraction"": 0.8653653281427414, ""feature_fraction"": 0.8926876833234793, ""learning_rate"": 0.13128088589611828, ""min_child_samples"": 11, ""min_split_gain"": 0.4727373998901666, ""num_leaves"": 30, ""reg_lambda"": 0.05489032453041766}",isotonic,0.7792574301084751,0.65966796875,0.7090002623983207,0.6834450486910333,0.8536960134974798,0.44061576643849276,0.011098472199163933,0.7682437497244147,0.645884672252341,0.6875655823714586,0.6660736975857687,0.8435976140998221,0.4530646170087222,0.014724473675774483,,51.0,57.0,43.0,103.0,119.0,74.6
93,lightgbm,smote,1,274,0.8503418001770219,0.445626250433606,0.6831523298442383,0.6406331201667438,"{""bagging_fraction"": 0.8653653281427414, ""feature_fraction"": 0.8926876833234793, ""learning_rate"": 0.13128088589611828, ""min_child_samples"": 11, ""min_split_gain"": 0.4727373998901666, ""num_leaves"": 30, ""reg_lambda"": 0.05489032453041766}",venn_abers,0.7785519005203281,0.6573849878934624,0.7124114405667804,0.6837929731771817,0.8539454626980292,0.4401353967870124,0.012488909545147878,0.7683760306891838,0.646015519152605,0.6879590766002098,0.6663278917614178,0.8436462988280469,0.45293911658384717,0.013800023287580667,,39.0,98.0,36.0,99.0,114.0,77.2
72,catboost,smote_classweights,2,324,0.8505014169022155,0.44505748424487707,0.6823731013523906,0.641087530044349,"{""depth"": 7, ""l2_leaf_reg"": 1.6211422705331282, ""learning_rate"": 0.12481850932041588, ""random_strength"": 0.38535213375482913}",base,0.777846370932181,0.6528632276384287,0.7239569666754133,0.6865745925096429,0.8548920381489792,0.43897598955907546,0.021656695607830623,0.7676705322104149,0.6395969176052163,0.7076337880377754,0.671897378417087,0.8445630841862455,0.45282487431905116,0.018603151794871587,,15.0,237.0,33.0,42.0,73.0,80.0
68,catboost,classweights,2,320,0.8520809301227895,0.4754003672042821,0.7017042615693206,0.624312829331656,"{""depth"": 7, ""l2_leaf_reg"": 3.507890165485267, ""learning_rate"": 0.05746548104965386, ""random_strength"": 0.12938854413485457}",venn_abers,0.7800511508951407,0.6676852559205501,0.6880083967462608,0.6776944947014732,0.8549625873255199,0.4378566786798537,0.013525825182235631,0.7690374355130297,0.6512807506974385,0.6736621196222455,0.6622823984526112,0.8451664027979953,0.45428227739650273,0.012917096371072377,,7.0,140.0,78.0,19.0,158.0,80.4
91,lightgbm,classweights,1,315,0.8499874054523405,0.4721685571108312,0.6996541943388744,0.6241710661289701,"{""bagging_fraction"": 0.654481315416495, ""feature_fraction"": 0.6196904087745579, ""learning_rate"": 0.07133614860328123, ""min_child_samples"": 72, ""min_split_gain"": 0.2544310517561305, ""num_leaves"": 113, ""reg_lambda"": 0.04465867147294384}",venn_abers,0.7788164741158833,0.6734096353473517,0.663867751246392,0.6686046511627907,0.8546252653611072,0.43934898445350873,0.011276782824562218,0.7690374355130297,0.6485678704856787,0.683105981112277,0.665389037945573,0.8430477415269579,0.4538630797821737,0.01225922534295793,,24.0,63.0,63.0,128.0,124.0,80.4
55,xgboost,classweights,1,319,0.8517696701190595,0.47526198128999814,0.701467929686276,0.6240775144108149,"{""colsample_bytree"": 0.9449080677680503, ""gamma"": 0.32993815394311254, ""learning_rate"": 0.10506492740498463, ""max_depth"": 4, ""min_child_weight"": 10, ""reg_lambda"": 0.005034561917116735, ""subsample"": 0.9227930841566909}",platt,0.7816385924684717,0.661896677176813,0.7160850170558909,0.6879253844214772,0.8565774105719477,0.43832536322246585,0.019707333009424965,0.7702720578508753,0.6475550122249388,0.6947796432318992,0.6703366236395849,0.8453893915733253,0.45446686073031406,0.022853326915084505,,8.0,226.0,86.0,5.0,81.0,81.2
91,lightgbm,classweights,1,315,0.8499874054523405,0.4721685571108312,0.6996541943388744,0.6241710661289701,"{""bagging_fraction"": 0.654481315416495, ""feature_fraction"": 0.6196904087745579, ""learning_rate"": 0.07133614860328123, ""min_child_samples"": 72, ""min_split_gain"": 0.2544310517561305, ""num_leaves"": 113, ""reg_lambda"": 0.04465867147294384}",isotonic,0.7788164741158833,0.6734096353473517,0.663867751246392,0.6686046511627907,0.8545954806420589,0.44052998227793455,0.008158043478511534,0.7687728735834913,0.6489734601902855,0.6799580272822665,0.6641045349730976,0.8430213953175537,0.4541946174713017,0.013507031566478115,,47.0,13.0,75.0,131.0,141.0,81.4
41,random_forest,base,1,156,0.8499886142565929,0.4447227934544402,0.6714990888733409,0.639170180891685,"{""max_depth"": 9, ""max_features"": 0.5388091141240144, ""min_samples_leaf"": 3, ""min_samples_split"": 25}",isotonic,0.7810212540788429,0.6606192549588776,0.7166098136971923,0.6874764002517306,0.8540554343640299,0.44182644132554455,0.011765353163323868,0.7678028131751841,0.6410962182862614,0.7026495278069255,0.6704630788485607,0.843391592666693,0.45359403651199187,0.01397099630136677,,73.0,83.0,58.0,117.0,79.0,82.0
66,catboost,base,2,39,0.8517521347470375,0.4426062828452622,0.6729182609092647,0.6426453206092354,"{""depth"": 6, ""l2_leaf_reg"": 8.184654521840187, ""learning_rate"": 0.09501644902056357, ""random_strength"": 0.07272221221740943}",isotonic,0.77899285651292,0.6823134953897737,0.6407766990291263,0.660893098782138,0.8550968712695031,0.4420641317127988,0.011860426584200539,0.769301997442568,0.6527848748083802,0.6702518363064008,0.6614030546207611,0.8446601922715695,0.45275877026765987,0.013874833375826658,,80.0,87.0,32.0,38.0,174.0,82.2
42,random_forest,base,2,246,0.8500068130826971,0.4446933499439339,0.6711572347718692,0.6391423350374373,"{""max_depth"": 11, ""max_features"": 0.36023049130450463, ""min_samples_leaf"": 15, ""min_samples_split"": 15}",base,0.7819913572625452,0.6697945726604109,0.6929939648386251,0.6811968016507609,0.8546811574582331,0.4386414497962914,0.011115298698250016,0.7674941575907227,0.6482158618080949,0.674317943336831,0.6610093217614915,0.8431580662788384,0.45284524684206395,0.008590308982261539,,13.0,58.0,35.0,125.0,182.0,82.6
68,catboost,classweights,2,320,0.8520809301227895,0.4754003672042821,0.7017042615693206,0.624312829331656,"{""depth"": 7, ""l2_leaf_reg"": 3.507890165485267, ""learning_rate"": 0.05746548104965386, ""random_strength"": 0.12938854413485457}",isotonic,0.780580298086251,0.6803926915734934,0.6546838100236159,0.6672907194437016,0.854723263883757,0.43931570878518905,0.013167842998285635,0.7691256228228758,0.6514843948236488,0.6735309548793285,0.6623242615761641,0.8450367060895638,0.4547812733928137,0.01383919751888319,,23.0,119.0,92.0,28.0,154.0,83.2
