trial,balance_strategy,params,auc_mean,auc_std,logloss_mean,logloss_std,f1_mean,f1_std,stage_score,rank_within_balance_strategy,model,error,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,metric_error
28,adasyn,"{'var_smoothing': np.float64(1.8333377815653434e-08), '__balance_strategy': 'adasyn'}",0.8148377064950068,0.006019001138692277,1.1108556406540524,0.04819597871631278,0.6762448680764096,0.004848451505982463,0.1374106186173707,1,naive_bayes,,0.7353447701013988,0.00501570715278912,0.5743454421615501,0.005796700921318723,0.8221602955566293,0.005913741255367494,
23,adasyn,"{'var_smoothing': np.float64(9.756754103590092e-09), '__balance_strategy': 'adasyn'}",0.8148377064950068,0.006019001138692277,1.1108556527728322,0.04819597924662158,0.6762448680764096,0.004848451505982463,0.1374106101236187,2,naive_bayes,,0.7353447701013988,0.00501570715278912,0.5743454421615501,0.005796700921318723,0.8221602955566293,0.005913741255367494,
50,adasyn_classweights,"{'var_smoothing': np.float64(1.9273221045217666e-07), '__balance_strategy': 'adasyn_classweights'}",0.814837354825392,0.006019827526563551,1.1173891319165936,0.04842682277316928,0.6762372515349354,0.004935287390077766,0.13283102238222522,1,naive_bayes,,0.7347022480352458,0.005104682077312922,0.5733801844400448,0.005869786824440765,0.8241278446628746,0.006214847217634976,
48,adasyn_classweights,"{'var_smoothing': np.float64(6.282020769157968e-08), '__balance_strategy': 'adasyn_classweights'}",0.8148373476239427,0.0060198240815890255,1.1173893153361736,0.04842683076131344,0.6762372515349354,0.004935287390077766,0.13283088679955574,2,naive_bayes,,0.7347022480352458,0.005104682077312922,0.5733801844400448,0.005869786824440765,0.8241278446628746,0.006214847217634976,
2,base,"{'var_smoothing': 1e-06, '__balance_strategy': 'base'}",0.8156844721595271,0.005606806078654487,1.1112451169055133,0.04476838492949295,0.6729998063371695,0.005316434951913334,0.13758715327372065,1,naive_bayes,,0.7473827161519205,0.004743460118093442,0.5958101590352776,0.0064690327606854265,0.7733083951738821,0.010156883470360274,
1,base,"{'var_smoothing': np.float64(6.515465231476855e-07), '__balance_strategy': 'base'}",0.8156844625565148,0.00560679691371877,1.1112456855347952,0.044768405654686885,0.6729998063371695,0.005316434951913334,0.13758674567395396,2,naive_bayes,,0.7473827161519205,0.004743460118093442,0.5958101590352776,0.0064690327606854265,0.7733083951738821,0.010156883470360274,
35,classweights,"{'var_smoothing': np.float64(9.179428448814353e-07), '__balance_strategy': 'classweights'}",0.8156646764477661,0.005601401683055781,1.1851238976693113,0.04770149924978494,0.677001600042917,0.006222036893375599,0.08639408801653725,1,naive_bayes,,0.7411369624553488,0.005681278623598578,0.583133523766384,0.0067387435489290335,0.8069819356672471,0.009300999597103489,
37,classweights,"{'var_smoothing': np.float64(1.0207624721804925e-07), '__balance_strategy': 'classweights'}",0.8156645480258975,0.005601381617536384,1.185125258421837,0.047701549320571246,0.677001600042917,0.006222036893375599,0.0863930070697609,2,naive_bayes,,0.7411369624553488,0.005681278623598578,0.583133523766384,0.0067387435489290335,0.8069819356672471,0.009300999597103489,
20,smote,"{'var_smoothing': np.float64(8.768104707983427e-07), '__balance_strategy': 'smote'}",0.8079947952810299,0.006062499888717688,1.3155787128406895,0.058188352254360566,0.6722354099801205,0.0048514106496368925,-0.013541884249957717,1,naive_bayes,,0.7350234871044298,0.005175617007671776,0.5754305021487486,0.006088869220771553,0.8082469139454312,0.004177234363633288,
21,smote,"{'var_smoothing': np.float64(6.112632050062953e-09), '__balance_strategy': 'smote'}",0.8079947616737413,0.006062497559678415,1.31558026749709,0.05818840303920765,0.6722354099801205,0.0048514106496368925,-0.013543007015971623,2,naive_bayes,,0.7350234871044298,0.005175617007671776,0.5754305021487486,0.006088869220771553,0.8082469139454312,0.004177234363633288,
40,smote_classweights,"{'var_smoothing': np.float64(2.8925561129156076e-07), '__balance_strategy': 'smote_classweights'}",0.8079947664742329,0.006062492885012576,1.3155797619365017,0.05818838652415428,0.6722354099801205,0.0048514106496368925,-0.013542647759033882,1,naive_bayes,,0.7350234871044298,0.005175617007671776,0.5754305021487486,0.006088869220771553,0.8082469139454312,0.004177234363633288,
38,smote_classweights,"{'var_smoothing': np.float64(1.5219483408507128e-07), '__balance_strategy': 'smote_classweights'}",0.807994768874786,0.006062488737888504,1.3155800066626238,0.058188394518426674,0.6722354099801205,0.0048514106496368925,-0.013542816619295373,2,naive_bayes,,0.7350234871044298,0.005175617007671776,0.5754305021487486,0.006088869220771553,0.8082469139454312,0.004177234363633288,
307,adasyn,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 13, 'min_samples_split': 26, '__balance_strategy': 'adasyn'}",0.8438660536101653,0.0038314710467906824,0.4628496248397132,0.004764214076940625,0.6915752316027964,0.003880537085155783,0.6233207431289072,1,random_forest,,0.7607812524819867,0.003993706356086647,0.6103586111190479,0.005455579439005777,0.7977625671817652,0.0033742275875849933,
310,adasyn,"{'max_depth': 12, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 10, '__balance_strategy': 'adasyn'}",0.8453364134790239,0.0038796603856507948,0.4661831974526495,0.005000973546480006,0.6950740701624997,0.004517452897034927,0.622975283296332,2,random_forest,,0.7546772676754118,0.0044931312834543,0.5970201624203272,0.005397703088444309,0.831689200982471,0.0032649639401144573,
330,adasyn_classweights,"{'max_depth': 12, 'max_features': 0.7, 'min_samples_leaf': 4, 'min_samples_split': 19, '__balance_strategy': 'adasyn_classweights'}",0.8451385246154298,0.0037961043222196037,0.4674477351418791,0.00489854360273971,0.6951733733409681,0.004716045666017604,0.6219133399290938,1,random_forest,,0.7541481200076997,0.004586177612410362,0.5960456094204182,0.005468409112388769,0.8338816381708566,0.004622031124112822,
329,adasyn_classweights,"{'max_depth': None, 'max_features': 0.7, 'min_samples_leaf': 9, 'min_samples_split': 16, '__balance_strategy': 'adasyn_classweights'}",0.8420825359850884,0.00395763053635958,0.46410233649391786,0.005138456398648696,0.6890058472984472,0.0033057904987401875,0.6202611268793221,2,random_forest,,0.7617356077143217,0.0032133495110204646,0.6138798482950744,0.0044545925953094955,0.7851139505319221,0.0038393429591608843,
