rank,experiment,rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
68,C · LogReg / CatBoost,34,smotenc,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999
69,C · LogReg / CatBoost,35,smotecw,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999
70,C · LogReg / CatBoost,36,smotencw,logreg,venn_abers,0.8479,0.1273,0.4991,0.2028,0.8481,0.313,0.0066,0.6638999999999999
71,C · LogReg / CatBoost,37,smote,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775
72,C · LogReg / CatBoost,38,smotenc,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775
73,C · LogReg / CatBoost,39,smotecw,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775
74,C · LogReg / CatBoost,40,smotencw,logreg,isotonic,0.8479,0.1264,0.4991,0.2017,0.848,0.3134,0.0058,0.663775
75,C · LogReg / CatBoost,41,base,lightgbm,base,0.85,0.1157,0.5299,0.19,0.8521,0.3095,0.0041,0.663025
76,C · LogReg / CatBoost,42,base,catboost,venn_abers,0.8506,0.1203,0.539,0.1967,0.8482,0.3133,0.0065,0.662775
77,B · XGBoost / AdaBoost,19,smote,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675
78,B · XGBoost / AdaBoost,20,smotenc,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675
79,B · XGBoost / AdaBoost,21,smotecw,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675
80,B · XGBoost / AdaBoost,22,smotencw,xgboost,platt,0.8427,0.1627,0.4522,0.2393,0.8378,0.3284,0.0263,0.662675
81,C · LogReg / CatBoost,43,cw,catboost,isotonic,0.8491,0.1173,0.5168,0.1911,0.8485,0.3127,0.0034,0.662575
82,C · LogReg / CatBoost,44,base,catboost,isotonic,0.8505,0.119,0.5368,0.1948,0.8481,0.3132,0.0061,0.66255
83,C · LogReg / CatBoost,45,cw,lightgbm,venn_abers,0.8506,0.1083,0.5425,0.1806,0.8519,0.3114,0.0036,0.660975
84,C · LogReg / CatBoost,46,cw,lightgbm,isotonic,0.8506,0.1077,0.544,0.1798,0.8519,0.3116,0.0037,0.6607500000000001
85,C · LogReg / CatBoost,47,smote,lightgbm,platt,0.8427,0.1553,0.4496,0.2309,0.8378,0.3281,0.0269,0.66075
