iter	Passed	Remaining
774	11281	4483
775	11286	4465
776	11292	4447
777	11298	4429
778	11358	4432
779	11364	4414
780	11370	4396
781	11376	4378
782	11381	4360
783	11387	4342
784	11393	4324
785	11398	4306
786	11457	4309
787	11463	4291
788	11469	4273
789	11474	4255
790	11480	4237
791	11486	4220
792	11491	4202
793	11497	4184
794	11558	4187
795	11564	4169
796	11569	4151
797	11575	4134
798	11581	4116
799	11587	4098
800	11592	4081
801	11598	4063
802	11657	4064
803	11663	4047
804	11669	4030
805	11677	4013
806	11683	3995
807	11688	3978
808	11694	3960
809	11699	3943
810	11757	3943
811	11763	3926
812	11769	3908
813	11775	3891
814	11781	3874
815	11786	3856
816	11792	3839
817	11797	3821
818	11857	3822
819	11863	3805
820	11869	3787
821	11875	3770
822	11880	3753
823	11886	3736
824	11892	3719
825	11897	3701
826	11957	3701
827	11963	3684
828	11969	3667
829	11975	3650
830	11980	3633
831	11986	3616
832	11991	3599
833	11997	3581
834	12056	3580
835	12062	3563
836	12068	3546
837	12074	3530
838	12079	3513
839	12085	3496
840	12090	3479
841	12096	3462
842	12156	3460
843	12162	3444
844	12167	3427
845	12173	3410
846	12179	3393
847	12185	3376
848	12190	3359
849	12196	3343
850	12256	3341
851	12261	3324
852	12267	3307
853	12273	3291
854	12278	3274
855	12284	3257
856	12290	3241
857	12295	3224
858	12354	3221
859	12360	3205
860	12366	3188
861	12372	3172
862	12378	3155
863	12384	3139
864	12389	3122
865	12395	3105
866	12454	3102
867	12460	3086
868	12466	3070
869	12472	3053
870	12477	3037
871	12483	3020
872	12489	3004
873	12494	2987
874	12555	2984
875	12560	2968
876	12566	2951
877	12572	2935
878	12578	2919
879	12584	2902
880	12590	2886
881	12595	2870
882	12654	2866
883	12660	2850
884	12666	2833
885	12672	2817
886	12677	2801
887	12683	2785
888	12689	2769
889	12748	2764
890	12754	2748
891	12760	2732
892	12766	2716
893	12772	2700
894	12778	2684
895	12783	2668
896	12789	2651
897	12849	2647
898	12855	2631
899	12860	2615
900	12866	2598
901	12872	2582
902	12877	2566
903	12883	2551
904	12889	2535
905	12949	2529
906	12955	2513
907	12960	2497
908	12966	2482
909	12972	2466
910	12978	2450
911	12984	2434
912	12989	2418
913	13049	2412
914	13055	2396
915	13060	2381
916	13066	2365
917	13072	2349
918	13078	2333
919	13084	2318
920	13090	2302
921	13149	2296
922	13155	2280
923	13161	2264
924	13167	2249
925	13173	2233
926	13178	2217
927	13184	2202
928	13189	2186
929	13249	2179
930	13255	2164
931	13260	2148
932	13266	2132
933	13272	2117
934	13277	2101
935	13283	2086
936	13289	2070
937	13348	2063
938	13354	2047
939	13360	2032
940	13365	2016
941	13371	2001
942	13376	1985
943	13382	1970
944	13388	1955
945	13448	1947
946	13453	1932
947	13459	1916
948	13465	1901
949	13471	1885
950	13477	1870
951	13482	1855
952	13488	1840
953	13548	1832
954	13554	1816
955	13560	1801
956	13566	1786
957	13571	1770
958	13577	1755
959	13583	1740
960	13588	1725
961	13648	1716
962	13654	1701
963	13660	1686
964	13665	1671
965	13671	1655
966	13677	1640
967	13682	1625
968	13688	1610
969	13748	1601
970	13753	1586
971	13759	1571
972	13765	1556
973	13771	1541
974	13777	1526
975	13783	1511
976	13843	1501
977	13850	1486
978	13856	1471
979	13862	1456
980	13868	1441
981	13873	1426
982	13879	1411
983	13885	1397
984	13945	1387
985	13951	1372
986	13956	1357
987	13962	1342
988	13967	1327
989	13973	1312
990	13979	1297
991	13984	1282
992	14044	1272
993	14050	1258
994	14056	1243
995	14061	1228
996	14067	1213
997	14073	1198
998	14078	1183
999	14084	1168
1000	14144	1158
1001	14150	1143
1002	14155	1129
1003	14161	1114
1004	14167	1099
1005	14173	1084
1006	14178	1070
1007	14184	1055
1008	14243	1044
1009	14249	1029
1010	14255	1015
1011	14260	1000
1012	14266	985
1013	14272	971
1014	14277	956
1015	14283	941
1016	14343	930
1017	14348	916
1018	14354	901
1019	14360	886
1020	14365	872
1021	14371	857
1022	14376	843
1023	14381	828
1024	14442	817
1025	14447	802
1026	14453	788
1027	14459	773
1028	14465	759
1029	14470	744
1030	14476	730
1031	14482	715
1032	14541	703
1033	14547	689
1034	14553	674
1035	14559	660
1036	14565	646
1037	14570	631
1038	14576	617
1039	14583	602
1040	14643	590
1041	14648	576
1042	14654	562
1043	14660	547
1044	14666	533
1045	14671	518
1046	14677	504
1047	14737	492
1048	14743	477
1049	14749	463
1050	14754	449
1051	14760	434
1052	14766	420
1053	14772	406
1054	14778	392
1055	14837	379
1056	14843	365
1057	14849	350
1058	14854	336
1059	14860	322
1060	14866	308
1061	14872	294
1062	14878	279
1063	14938	266
1064	14944	252
1065	14949	238
1066	14955	224
1067	14961	210
1068	14967	196
1069	14973	181
1070	14979	167
1071	15039	154
1072	15045	140
1073	15051	126
1074	15056	112
1075	15062	97
1076	15068	83
1077	15074	69
1078	15079	55
1079	15139	42
1080	15144	28
1081	15150	14
1082	15156	0
