model_name,strategy,use_class_weight,sampler,cv_requested_folds,cv_folds_used,cv_best_f1,cv_best_auc,cal_accuracy,cal_precision,cal_recall,cal_f1,cal_auc,cal_logloss,best_params,model_path
LogReg,class_weight,True,none,30,30,0.676784451713837,0.8225590583153374,0.7434077079107505,0.5893954410307235,0.7801390528663256,0.6714842206289167,0.8176955561907707,0.5312707543445803,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg__class_weight__gridsearch_best.joblib
LogReg,smote,False,smote,30,30,0.6757739026342479,0.8225105468049736,0.743054943116677,0.5890873015873016,0.7789584153220517,0.6708467491385641,0.8175566714952602,0.5311713776238967,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg__smote__gridsearch_best.joblib
LogReg,smote_class_weight,True,smote,30,30,0.6757739026342479,0.8225105468049736,0.743054943116677,0.5890873015873016,0.7789584153220517,0.6708467491385641,0.8175566714952602,0.5311713776238967,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg__smote_class_weight__gridsearch_best.joblib
LogReg,base,False,none,30,30,0.6053045617976434,0.8223218689984927,0.7435840903077873,0.6355322338830585,0.5560802833530106,0.593157489680263,0.8174399670489765,0.4919585716611414,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg__base__gridsearch_best.joblib
RandomForest,adasyn,False,adasyn,30,30,0.6715271372531154,0.8054836631024384,0.7291648293500309,0.5643074250976986,0.8524203069657615,0.6790678231790156,0.8079440930502192,0.5056359706460167,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest__adasyn__gridsearch_best.joblib
RandomForest,adasyn_class_weight,True,adasyn,30,30,0.6723887028881127,0.805553939795471,0.7266072845929976,0.5610886923671332,0.8572740390922209,0.6782563570316554,0.808071907226522,0.5092971586767546,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest__adasyn_class_weight__gridsearch_best.joblib
RandomForest,class_weight,True,none,30,30,0.6656550953039045,0.8066458798593664,0.7355145956433548,0.5740318906605922,0.8264462809917356,0.677492203462738,0.8080673152047808,0.5068469167936959,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest__class_weight__gridsearch_best.joblib
RandomForest,smote,False,smote,30,30,0.669318824848418,0.8070303443000607,0.7347649704559485,0.5733978455358774,0.823953823953824,0.6762125208591269,0.8087378854384681,0.5061910261331664,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest__smote__gridsearch_best.joblib
RandomForest,smote_class_weight,True,smote,30,30,0.6701613131982327,0.807003539514998,0.733971249669283,0.5728021978021978,0.820543093270366,0.6746481151917165,0.8088073277862233,0.5062403248139892,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest__smote_class_weight__gridsearch_best.joblib
RandomForest,base,False,none,30,30,0.6216025853171273,0.8084501411882989,0.7422171267307522,0.6086053049749419,0.6531549258821986,0.6300936471779296,0.8107193123225247,0.48222404491454013,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest__base__gridsearch_best.joblib
XGBoost,class_weight,True,none,30,30,0.687431717307055,0.8252261668160485,0.7374548020107593,0.5736735234395691,0.8524203069657615,0.6858047493403694,0.8210638041379867,0.5075563264356615,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__n_estimators"": 300, ""model__subsample"": 0.85}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost__class_weight__gridsearch_best.joblib
XGBoost,smote,False,smote,30,30,0.6863124589856648,0.8225368506280736,0.739880059970015,0.5779244259627554,0.8386462022825659,0.6842922130050842,0.8180342983941908,0.4991679441496488,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__n_estimators"": 300, ""model__subsample"": 0.85}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost__smote__gridsearch_best.joblib
XGBoost,adasyn,False,adasyn,30,30,0.6856739567639648,0.8213605797346002,0.7367492724226122,0.5733297844024487,0.8476977567886659,0.6840266751349635,0.8164855846024892,0.49764773337029766,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__n_estimators"": 300, ""model__subsample"": 0.85}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost__adasyn__gridsearch_best.joblib
XGBoost,smote_class_weight,True,smote,30,30,0.6838160376063158,0.8224670169645433,0.7113502072493165,0.5421592421514131,0.9084349993440902,0.6790547166111002,0.818042384534942,0.5906128808554129,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__n_estimators"": 300, ""model__subsample"": 0.85}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost__smote_class_weight__gridsearch_best.joblib
XGBoost,adasyn_class_weight,True,adasyn,30,30,0.681556293548078,0.8189881681974919,0.7057941617426581,0.5367948618741778,0.9100091827364555,0.675265258444466,0.8149296429511399,0.5804078015828361,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__n_estimators"": 300, ""model__subsample"": 0.85}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost__adasyn_class_weight__gridsearch_best.joblib
XGBoost,base,False,none,30,30,0.6540557590833823,0.8252698686109645,0.7516535849722198,0.6151000115620303,0.6978879706152433,0.6538839724680433,0.8207757440872383,0.4711945468489927,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__n_estimators"": 300, ""model__subsample"": 0.85}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost__base__gridsearch_best.joblib
