score,label
0.0026746793,0
0.80222803,1
0.18632443,0
0.52368706,0
0.5400446,0
0.75219506,1
0.72007227,0
0.022017956,0
0.0041936603,0
0.41345683,0
0.2945775,0
0.0042657726,0
0.10807465,0
0.009221674,0
0.32383665,1
0.09964477,0
0.021191008,0
0.016242057,0
0.8108497,1
0.30037794,0
0.23803218,0
0.8373224,1
0.033456936,0
0.40415168,0
0.54229677,0
0.72809446,0
0.23986468,0
0.004299637,0
0.0045969673,0
0.677837,0
0.50725067,1
0.07970618,0
0.46837723,0
0.6791498,0
0.77572286,0
0.092248045,0
0.029332357,0
0.8459765,0
0.50435114,1
0.5628096,0
0.6122748,0
0.075910226,0
0.034740526,0
0.6006227,0
0.27775866,0
0.00729643,0
0.77100056,1
0.019822508,0
0.00517138,0
0.006561943,0
0.13809352,0
0.8455448,1
0.350153,0
0.002235263,0
0.04861087,0
0.24856949,0
0.29980943,0
0.36103645,1
0.8394067,0
0.23821901,0
0.67803204,0
0.0017379251,0
0.46225926,0
0.0066155153,0
0.63899285,0
0.7730628,0
0.4480293,0
0.58792806,0
0.004487967,0
0.40537146,0
0.07098942,0
0.538132,0
0.31157726,0
0.7296132,1
0.0045582987,0
0.55739325,1
0.0024649117,0
0.053566333,0
0.64679,0
0.60919684,0
0.01273374,0
0.14343275,0
0.4290177,0
0.008457815,0
0.44512063,1
0.10991518,0
0.5765723,0
0.74788475,0
0.1406785,0
0.4926587,0
0.012737283,0
0.436871,0
0.68174213,1
0.7737034,0
0.6159146,1
0.43003607,0
0.55953014,0
0.06867827,0
0.89144385,1
0.071209274,0
0.40868133,0
0.4514026,0
0.13007148,0
0.76480776,1
0.070921175,0
0.5819508,0
0.46103483,0
0.015858045,0
0.17414121,0
0.6707982,0
0.004456064,0
0.7219856,0
0.7567869,0
0.14272952,0
0.010577458,0
0.6565051,0
0.23890102,0
0.46752873,0
0.018926628,0
0.6575359,1
0.5067427,1
0.20460099,0
0.010352639,0
0.023427844,0
0.34078526,1
0.7053136,0
0.0038229453,0
0.5741391,0
0.41178423,0
0.0032886362,0
0.74658674,1
0.7118213,0
0.14700177,0
0.121748075,0
0.8592773,1
0.0018812679,0
0.78658944,0
0.8365354,1
0.012069474,0
0.4102034,0
0.0030412031,0
0.1938746,0
0.14651532,0
0.027589308,0
0.0056979484,0
0.84804606,1
0.63613755,1
0.3368946,0
0.0051637883,0
0.7599179,0
0.24846612,0
0.20111677,0
0.0051950305,0
0.49944404,0
0.52621156,1
0.03130873,0
0.6637729,1
0.32844388,1
0.0024444724,0
0.14154714,0
0.0030596026,0
0.1107914,0
0.29852346,0
0.012090574,0
0.1048025,0
0.029737735,0
0.10047852,0
0.7935527,0
0.008648563,0
0.005326278,0
0.029896645,0
0.0070394757,0
0.27648497,0
0.0051550968,0
0.10440744,0
0.021713061,0
0.017203955,0
0.46746016,0
0.5606079,0
0.2798482,0
0.0026621798,0
0.002718273,0
0.7823428,1
0.4342628,0
0.038634557,0
0.0027475462,0
0.004045948,0
0.08078826,0
0.51504457,0
0.011944322,0
0.053637434,0
0.7423876,0
0.18868399,0
0.47238722,0
0.013497159,0
0.0029735041,0
0.08794354,0
0.038634453,0
0.003948794,0
0.78106016,0
0.091546915,0
0.75576097,1
0.77995145,0
0.64785385,0
0.009943613,0
0.0023144116,0
0.0045297453,0
0.022626081,0
0.5116557,0
0.0031412856,0
0.004798531,0
0.0035933973,0
0.67430615,1
0.6104938,0
0.58289886,1
0.0092342775,0
0.55007887,0
0.5010638,0
0.8410768,0
0.008040502,0
0.35398787,0
0.6898459,1
0.1002196,0
0.0030711594,0
0.6081997,0
0.7813813,0
0.7323956,0
0.11092146,0
0.76419216,0
0.18924263,0
0.69468564,1
0.8007556,0
0.10220803,0
0.046771396,0
0.6753571,1
0.014069989,0
0.7073232,1
0.13372794,0
0.750922,1
0.8189798,1
0.53820336,0
0.016933654,0
0.008517587,0
0.7198039,0
0.76248026,1
0.6819412,0
0.0055105956,0
0.011103924,0
0.3304773,0
0.03388828,0
0.01563945,0
0.03212846,0
0.023785375,0
0.019776925,0
0.0031940679,0
0.003566948,0
0.24348512,0
0.857057,1
0.15186389,0
0.2005406,0
0.0033178658,0
0.37982917,0
0.0039478606,0
0.01164308,0
0.82691467,1
0.13133451,0
0.5339589,0
0.003950884,0
0.3765062,0
0.798455,1
0.0026658005,0
0.39323702,0
0.025924109,0
0.5240227,1
0.07960015,0
0.87735,1
0.008055054,0
0.0037183636,0
0.04803533,0
0.0060818586,0
0.36441857,0
0.6211831,0
0.60043514,0
0.0068740635,0
0.70163465,0
0.0029110292,0
0.5488201,1
0.0183194,0
0.009669362,0
0.06298645,0
0.1124511,0
0.0029380708,0
0.81065047,0
0.010084659,0
0.8412375,1
0.18819492,1
0.016606715,0
0.71225667,1
0.6293204,0
0.0064461143,0
0.12272066,0
0.6618964,0
0.00390916,0
0.55244225,0
0.16519594,0
0.030170886,0
0.0035137148,0
0.0036021648,0
0.22847682,0
0.33976415,0
0.005987676,0
0.047795635,0
0.34899354,0
0.004052615,0
0.006206655,0
0.0035867435,0
0.16798587,0
0.31734592,0
0.2859803,0
0.033196524,0
0.6792328,0
0.014545214,0
0.008078592,0
0.67283493,0
0.19931248,0
0.51675445,0
0.4536683,1
0.7170997,0
0.00442523,0
0.009479913,0
0.005835519,0
0.18164401,0
0.7745691,0
0.1342325,0
0.07552335,0
0.018082077,0
0.011452281,0
0.0035483458,0
0.8231467,0
0.04098134,0
0.34733585,1
0.34899896,0
0.019550256,0
0.69914037,1
0.006444649,0
0.0071892496,0
0.06956256,0
0.3565378,0
0.046722323,0
0.0053343987,0
0.030007165,0
0.0019717398,0
0.08452865,1
0.41343835,0
0.0053758966,0
0.02778175,0
0.2770894,0
0.20849036,0
0.18171093,0
0.6633812,0
0.4530282,0
0.016679736,0
0.5041896,1
0.6318823,0
0.03693998,0
0.34003362,0
0.03423691,0
0.09344206,0
0.0084938565,0
0.0018352075,0
0.5178928,0
0.046713877,0
0.0019672231,0
0.48260555,0
0.2333713,0
0.75819886,0
0.6034169,0
0.6556833,0
0.9047127,1
0.0053423485,0
0.27918258,0
0.74577737,1
0.028316408,0
0.039211262,0
0.09504704,0
0.027885254,0
0.37740347,0
0.023710534,0
0.3534289,0
0.465242,1
0.45584103,0
0.6371651,0
0.7121217,1
0.012170819,0
0.7896697,1
0.74862045,1
0.045065884,0
0.01751856,0
0.0036225356,0
0.7135497,0
0.6946539,1
0.0035109243,0
0.113299124,0
0.0039531854,0
0.4193763,0
0.0055767777,0
0.91008586,0
0.0025567706,0
0.0070181293,0
0.7754847,1
0.81378627,0
0.27846408,0
0.011877239,0
0.88782626,1
0.1362703,0
0.36306813,1
0.6999281,0
0.7311405,0
0.28167185,0
0.5601765,1
0.84979737,0
0.002625034,0
0.06469405,0
0.069025114,0
0.026885053,0
0.02621365,0
0.75225633,1
0.0015535326,0
0.7263805,1
0.26218888,0
0.46084982,0
0.55414176,0
0.5258374,0
0.02761211,0
0.7048915,0
0.26293668,0
0.5588674,1
0.79637384,1
0.51932865,0
0.841653,0
0.0172662,0
0.0029880719,0
0.6402734,1
0.6996221,0
0.006295081,0
0.5739002,1
0.63217014,0
0.31621784,0
0.6612538,0
0.44007206,0
0.0029763752,0
0.0040486464,0
0.02593869,0
0.2430696,1
0.0069540357,0
0.76630867,0
0.023521964,0
0.75183743,0
0.0030675528,0
0.31980285,1
0.26150885,0
0.73960376,1
