strategy,model,threshold,cal_accuracy,cal_recall,cal_f1,test_accuracy,test_recall,test_f1,test_precision,test_auc,test_min_acc_rec_f1,meets_0_90_all,n_features,blend_members,blend_weights
S7_pairwise_top20_products,XGB_bal,0.525,0.6909708078750849,0.7212001132182282,0.6912642430819317,0.6898845892735913,0.7161052929521653,0.6889978213507625,0.663867751246392,0.761947918950285,0.6889978213507625,False,227,,
S7_pairwise_top20_products,LGBM_bal,0.52,0.6872369314324508,0.717378998018681,0.6875551034248898,0.6887304820095044,0.7179450891593546,0.6887516122462833,0.6618395303326811,0.7605098395267524,0.6887304820095044,False,227,,
S7_pairwise_top20_products,CAT_bal,0.505,0.6926001357773252,0.7558731955844891,0.7023011176857331,0.6929395790902919,0.7521936031701104,0.7015112518973141,0.6572276493137134,0.7630866289331664,0.6929395790902919,False,227,,
S8_mutual_info_k15,LR_bal,0.495,0.681602172437203,0.7175205208038494,0.6837491571139582,0.6785471826205024,0.7162468157373337,0.6812950124520428,0.6495956873315364,0.7481772662997908,0.6785471826205024,False,15,,
S8_mutual_info_k15,RF_bal,0.5,0.6752206381534284,0.7122841777526182,0.6778451178451178,0.6809911744738628,0.7203509765072177,0.6841857651723906,0.6514783053884552,0.7481101426927856,0.6809911744738628,False,15,,
S8_mutual_info_k15,XGB_bal,0.52,0.6826883910386965,0.7107274271157656,0.682429677945373,0.6797012898845892,0.7074724030568922,0.6793965751562925,0.6534640522875818,0.7509850550904771,0.6793965751562925,False,15,,
S8_mutual_info_k15,LGBM_bal,0.5,0.6816700610997963,0.7350693461647325,0.6889964847118127,0.6790224032586558,0.7320973676761958,0.686347353058246,0.6459790209790209,0.747289055709159,0.6790224032586558,False,15,,
S8_mutual_info_k15,CAT_bal,0.51,0.6822131704005431,0.7257288423436173,0.6866171252594229,0.6792260692464358,0.7251627512029437,0.6844319775596073,0.6480333881370938,0.7515408699485376,0.6792260692464358,False,15,,
S8_mutual_info_k20,LR_bal,0.495,0.681805838424983,0.7179450891593546,0.6840153711319356,0.6791581805838425,0.7163883385225022,0.6817508417508418,0.6503083247687564,0.7483148189128805,0.6791581805838425,False,20,,
S8_mutual_info_k20,RF_bal,0.505,0.6766463000678886,0.7063402207755448,0.6769752458460495,0.6826205023761032,0.7151146334559864,0.6837155808132062,0.6549578742709008,0.7483599773120361,0.6826205023761032,False,20,,
S8_mutual_info_k20,XGB_bal,0.49,0.6825526137135098,0.7537503538069629,0.694937369519833,0.6795655125594026,0.7537503538069629,0.6929482175383814,0.6412232121358055,0.7504645839968753,0.6795655125594026,False,20,,
