accuracy,recall,f1,dual_min,hit_dual_0_80
0.6704198920947689,0.8111094954195143,0.7257823173508555,0.6704198920947689,0
0.6677613574165299,0.8112185120093731,0.722776799112677,0.6677613574165299,0
0.6769098443975291,0.8115002161694769,0.7315837339223074,0.6769098443975291,0
0.6755023848619908,0.8152094584732156,0.72911227154047,0.6755023848619908,0
0.6779263429509735,0.807307012374779,0.7268386497778367,0.6779263429509735,0
0.6649464383454531,0.8061661011948665,0.7183700295760762,0.6649464383454531,0
0.6636171710063336,0.8064986157657001,0.7201405152224825,0.6636171710063336,0
0.6647900539526155,0.8090562719812426,0.7203340074368844,0.6647900539526155,0
0.6669794354523418,0.8085385399970858,0.7226671876017451,0.6669794354523418,0
0.6709672374697006,0.80674935102394,0.7266822551312029,0.6709672374697006,0
0.6725310813980765,0.8066919929865576,0.7250164149704531,0.6725310813980765,0
0.6716709672374697,0.8126097132826214,0.7257168985564048,0.6716709672374697,0
0.6736257721479396,0.8147383935151069,0.725935653315824,0.6736257721479396,0
0.6726092735944953,0.8129088530309638,0.7276039294775877,0.6726092735944953,0
0.6683868949878802,0.8134606775108193,0.7199366043716569,0.6683868949878802,0
0.675424192665572,0.8093373930694505,0.728958537381652,0.675424192665572,0
0.6585346782391117,0.801394245031148,0.7121861200817241,0.6585346782391117,0
0.6693252013449058,0.7985958753839403,0.7208396593834576,0.6693252013449058,0
0.6594729845961373,0.8029218407596787,0.7162311852479312,0.6594729845961373,0
0.6687778559699742,0.8061867761325319,0.721937770775896,0.6687778559699742,0
0.6703416998983501,0.8093708947598891,0.7245524630863713,0.6703416998983501,0
0.6732348111658456,0.8127927400468384,0.726594700686948,0.6732348111658456,0
0.6697943545234185,0.804853091653267,0.7228093206432556,0.6697943545234185,0
0.6643209007741028,0.809222156747201,0.7190261142744944,0.6643209007741028,0
0.6690906247556494,0.8116883116883117,0.7221638655462185,0.6690906247556494,0
0.6665884744702478,0.81101080361107,0.719915922228061,0.6665884744702478,0
0.6711236218625382,0.8054587688734031,0.7251339694157627,0.6711236218625382,0
0.668074126202205,0.8074534161490683,0.7200791295746786,0.668074126202205,0
0.673860348737196,0.8116448326055313,0.7277948182470796,0.673860348737196,0
0.6702635077019313,0.8108423200233168,0.725187357445422,0.6702635077019313,0
0.6690124325592306,0.8065831634139237,0.723495982755242,0.6690124325592306,0
0.6667448588630854,0.8095308568891519,0.7196421523483753,0.6667448588630854,0
0.6666666666666666,0.8088428425507077,0.7222620366147632,0.6666666666666666,0
0.6650246305418719,0.8045859500511173,0.7200365965233303,0.6650246305418719,0
0.6729220423801705,0.8093918623304652,0.7262971929594975,0.6729220423801705,0
0.6737039643443584,0.8079170318434122,0.7260912372825731,0.6737039643443584,0
0.669637970130581,0.8054662379421221,0.7228963074703221,0.669637970130581,0
0.6715927750410509,0.8039014373716632,0.7229916897506925,0.6715927750410509,0
0.6651810149347095,0.8108461762140157,0.7225965275978232,0.6651810149347095,0
0.6693252013449058,0.8087170576310455,0.7253717773881421,0.6693252013449058,0
0.6775353819688795,0.8099670628669626,0.732832339984452,0.6775353819688795,0
0.6708890452732817,0.8074614065180102,0.7285741923002514,0.6708890452732817,0
0.6669794354523418,0.8003523194362889,0.7191189078678362,0.6669794354523418,0
0.66385174759559,0.8046061317294998,0.7184491453271334,0.66385174759559,0
0.6707326608804441,0.8024619840695149,0.7246452625384163,0.6707326608804441,0
0.6717491594338885,0.8092554138237912,0.7221707478491065,0.6717491594338885,0
0.6691688169520682,0.8103699388290125,0.7245263363500228,0.6691688169520682,0
0.6629134412385644,0.808227286179343,0.7170331473580571,0.6629134412385644,0
0.6683868949878802,0.8108663729809105,0.7225384363755316,0.6683868949878802,0
0.6715145828446321,0.8169972491675113,0.7287402337444309,0.6715145828446321,0
0.6726092735944953,0.8158702323542306,0.7272845697909204,0.6726092735944953,0
0.675033231683478,0.8099137300774967,0.7271891820926875,0.675033231683478,0
0.6760497302369224,0.8214388904940768,0.7329680953915566,0.6760497302369224,0
0.6701071233090937,0.8038467185435325,0.7218669655217879,0.6701071233090937,0
0.6701853155055125,0.8097118619277461,0.7241334205362983,0.6701853155055125,0
0.6701853155055125,0.8134669220568734,0.7235910878112713,0.6701853155055125,0
0.6729220423801705,0.815489091171796,0.7296231659233404,0.6729220423801705,0
0.671201814058957,0.8079286132241077,0.7242803750573733,0.671201814058957,0
0.6674485886308547,0.8065502183406114,0.7226605803716988,0.6674485886308547,0
0.6726874657909141,0.815389116442364,0.7270118690491718,0.6726874657909141,0
0.668465087184299,0.8040266512166859,0.7236344674749055,0.668465087184299,0
0.6707326608804441,0.8088875980249782,0.7256856230864439,0.6707326608804441,0
0.6768316522011103,0.81875,0.7316059484382103,0.6768316522011103,0
0.6788646493079991,0.8111239860950173,0.7316913830273731,0.6788646493079991,0
0.6709672374697006,0.8136664217487142,0.7246433712864808,0.6709672374697006,0
0.6752678082727344,0.8246877296105805,0.7299213110489693,0.6752678082727344,0
0.6690906247556494,0.8014801915542011,0.7230003927215604,0.6690906247556494,0
0.6702635077019313,0.8050333086602517,0.7205989531570927,0.6702635077019313,0
0.6690906247556494,0.8107787977494818,0.7212855637513171,0.6690906247556494,0
0.669637970130581,0.8059220170038112,0.7224229682675252,0.669637970130581,0
0.6808976464148878,0.8104537622056289,0.7344654824647017,0.6808976464148878,0
0.6740167331300336,0.8132984901277585,0.7288102517400638,0.6740167331300336,0
