model_name,strategy,base_model_path,calibration_method,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_auc,eval_logloss,eval_ece
KNN,smote,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\KNN__smote__gridsearch_best.joblib,isotonic,0.7198165623070818,0.5723413966225468,0.6580949881920756,0.6122299523983888,0.7754029145733127,0.5175975182138187,0.006343274175757885
XGBoost,class_weight,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\XGBoost__class_weight__gridsearch_best.joblib,isotonic,0.7517417761707381,0.6280205655526993,0.6410390973497769,0.6344630567458771,0.8219727083438483,0.4696529383751594,0.011220374282290137
NaiveBayes,adasyn,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\NaiveBayes__adasyn__gridsearch_best.joblib,isotonic,0.7156715759767175,0.5687514640431014,0.6371031225400158,0.600990099009901,0.7666108105877304,0.5273511782619329,0.011915025603347281
LogReg,adasyn_class_weight,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LogReg__adasyn_class_weight__gridsearch_best.joblib,isotonic,0.7474204074433372,0.6215037208108801,0.6355287326161112,0.6284379865075247,0.8168905534094911,0.4765947446744245,0.013453041261386392
RandomForest,base,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\RandomForest__base__gridsearch_best.joblib,sigmoid,0.7383367139959433,0.6130155329405463,0.6006297559695618,0.6067594433399602,0.8122164438976497,0.489899075382913,0.04513282775601503
NaiveBayes,smote,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\NaiveBayes__smote__gridsearch_best.joblib,sigmoid,0.7197283711085634,0.582443344620995,0.5867226449750722,0.5845751633986929,0.7467359328985311,0.5430875347712291,0.011075477347808138
NaiveBayes,smote,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\NaiveBayes__smote__gridsearch_best.joblib,isotonic,0.7198165623070818,0.5876174682144831,0.5578588297034899,0.5723515951002827,0.749220455998646,0.5433966361814431,0.013482048219694565
KNN,base,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\KNN__base__gridsearch_best.joblib,sigmoid,0.7202575182996737,0.5899240078806642,0.5499868800839675,0.5692558392178164,0.7821689082528873,0.5266756676487758,0.060112676321483954
LogReg,class_weight,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LogReg__class_weight__gridsearch_best.joblib,sigmoid,0.7442455242966752,0.6401969836872884,0.5457885069535555,0.5892351274787535,0.8183349815721648,0.4916460709418905,0.057382808876749555
LogReg,adasyn_class_weight,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\LogReg__adasyn_class_weight__gridsearch_best.joblib,sigmoid,0.7430108475174177,0.6377880184331797,0.5447389136709525,0.5876026040192471,0.817541930749709,0.4922015525761731,0.057215979847724543
NaiveBayes,adasyn,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\NaiveBayes__adasyn__gridsearch_best.joblib,sigmoid,0.7146132815944969,0.5854891465953018,0.5166622933613225,0.54892667967661,0.7663314023865698,0.5407238083308514,0.0552285116797811
KNN,smote,c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts_strict50\models\KNN__smote__gridsearch_best.joblib,sigmoid,0.7124085016315371,0.5831820931639443,0.5059039622146418,0.541801320781228,0.7754029145733127,0.5253693095984915,0.047649481142868794
