rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
93,cw,catboost,venn_abers,0.7736,0.6814,0.6576,0.6692,0.8464,0.4512,0.0105,0.7275
94,cw,catboost,isotonic,0.7734,0.6802,0.6575,0.6687,0.8463,0.4576,0.0111,0.7268
95,base,randomforest,venn_abers,0.7608,0.6919,0.6317,0.6604,0.8367,0.4629,0.0109,0.72635
96,base,randomforest,isotonic,0.7608,0.6918,0.6317,0.6604,0.8367,0.465,0.0119,0.7263
97,base,xgboost,base,0.7749,0.676,0.6617,0.6688,0.8484,0.4474,0.0055,0.72545
98,smotecw,randomforest,platt,0.7693,0.6769,0.6509,0.6636,0.8392,0.4615,0.0164,0.7231
99,smotencw,randomforest,platt,0.7693,0.6769,0.6509,0.6636,0.8392,0.4615,0.0164,0.7231
100,base,catboost,platt,0.7717,0.6721,0.6569,0.6644,0.8445,0.4578,0.0216,0.7219
101,smote,randomforest,platt,0.7689,0.6742,0.6509,0.6623,0.8393,0.4615,0.0183,0.72155
102,smotenc,randomforest,platt,0.7689,0.6742,0.6509,0.6623,0.8393,0.4615,0.0183,0.72155
103,base,knn,isotonic,0.7532,0.6876,0.6199,0.652,0.8195,0.482,0.0123,0.7203999999999999
104,cw,knn,isotonic,0.7532,0.6876,0.6199,0.652,0.8195,0.482,0.0123,0.7203999999999999
105,base,knn,venn_abers,0.7532,0.6876,0.6199,0.652,0.8184,0.4832,0.013,0.7203999999999999
106,cw,knn,venn_abers,0.7532,0.6876,0.6199,0.652,0.8184,0.4832,0.013,0.7203999999999999
107,smote,xgboost,platt,0.7727,0.6674,0.6602,0.6638,0.8459,0.4563,0.0272,0.7200500000000001
108,smotenc,xgboost,platt,0.7727,0.6674,0.6602,0.6638,0.8459,0.4563,0.0272,0.7200500000000001
109,smotecw,xgboost,platt,0.7727,0.6674,0.6602,0.6638,0.8459,0.4563,0.0272,0.7200500000000001
110,smotencw,xgboost,platt,0.7727,0.6674,0.6602,0.6638,0.8459,0.4563,0.0272,0.7200500000000001
111,smote,logreg,platt,0.7685,0.6597,0.6544,0.6571,0.8406,0.4619,0.0252,0.7141
112,smotenc,logreg,platt,0.7685,0.6597,0.6544,0.6571,0.8406,0.4619,0.0252,0.7141
113,smotecw,logreg,platt,0.7685,0.6597,0.6544,0.6571,0.8406,0.4619,0.0252,0.7141
114,smotencw,logreg,platt,0.7685,0.6597,0.6544,0.6571,0.8406,0.4619,0.0252,0.7141
115,base,logreg,venn_abers,0.7687,0.6575,0.6555,0.6565,0.8404,0.4579,0.0102,0.7131000000000001
116,base,logreg,isotonic,0.7687,0.6574,0.6555,0.6564,0.8404,0.4621,0.0108,0.71305
117,cw,logreg,platt,0.768,0.658,0.6541,0.656,0.8403,0.462,0.0235,0.7130000000000001
118,cw,logreg,venn_abers,0.7686,0.6565,0.6557,0.6561,0.8401,0.4582,0.0097,0.71255
119,base,xgboost,platt,0.7751,0.6498,0.6708,0.6601,0.8484,0.455,0.032,0.71245
120,cw,logreg,isotonic,0.7686,0.6563,0.6556,0.6559,0.84,0.4618,0.0105,0.71245
121,base,catboost,venn_abers,0.7726,0.6431,0.6681,0.6554,0.8442,0.4537,0.0102,0.70785
122,base,catboost,isotonic,0.7726,0.6431,0.6681,0.6554,0.8441,0.454,0.011,0.70785
123,smote,randomforest,venn_abers,0.7667,0.6443,0.6556,0.6499,0.8391,0.4587,0.0093,0.7055
124,smotenc,randomforest,venn_abers,0.7667,0.6443,0.6556,0.6499,0.8391,0.4587,0.0093,0.7055
125,smote,randomforest,isotonic,0.7666,0.6441,0.6556,0.6498,0.8391,0.4613,0.0094,0.7053499999999999
