model,method,selected_threshold,cal_accuracy,cal_recall,cal_f1,cal_auc,cal_logloss,cal_ece,rank_acc,rank_recall,rank_logloss,rank_ece,rank_mean,calibration_status,model_key,model_family,compute_type,balancing_method
random_forest,base,0.4,0.7442455242966752,0.9023878247179218,0.7034158314583759,0.8543363762429412,0.4633849038071984,0.0867401346949693,20.0,2.0,18.0,25.0,16.25,ok,random_forest,random_forest,gpu_or_gpu_first,class_weight=balanced_subsample
cpu_logistic_regression,platt,0.35,0.7658523679336802,0.8076620309630018,0.6986721144024515,0.849238605680575,0.4495809556662082,0.028911365227716,11.0,19.0,17.0,20.0,16.75,ok,cpu_logistic_regression,logistic_regression,cpu,class_weight=balanced
cpu_knn,base,0.35,0.7395713907752006,0.8454473891367095,0.6857507715228265,0.828459868951419,0.497266514814054,0.0205351530117294,22.0,10.0,25.0,18.0,18.75,ok,cpu_knn,knn,cpu,none
cpu_adaboost,base,0.4,0.7449510538848223,0.8966150616636054,0.702652683528686,0.8526281380789598,0.5038717769209289,0.1205599563529006,19.0,3.0,27.0,27.0,19.0,ok,cpu_adaboost,adaboost,cpu,none
cpu_logistic_regression,base,0.35,0.7217567686744862,0.9176069273156652,0.6891319341807075,0.849238605680575,0.4858920018745477,0.1068164221325236,28.0,1.0,22.0,26.0,19.25,ok,cpu_logistic_regression,logistic_regression,cpu,class_weight=balanced
cpu_naive_bayes,isotonic,0.35,0.7246670782255931,0.8297034898976646,0.6694897311031124,0.8077325975676988,0.4943653622612032,0.0203425831131819,26.0,15.0,24.0,16.0,20.25,ok,cpu_naive_bayes,naive_bayes,cpu,none
cpu_naive_bayes,venn_abers,0.35,0.7246670782255931,0.8297034898976646,0.6694897311031124,0.8076573253608117,0.4943014343871817,0.0203711901219168,26.0,15.0,23.0,17.0,20.25,ok,cpu_naive_bayes,naive_bayes,cpu,none
cpu_knn,platt,0.35,0.7477731722374107,0.7950669115717659,0.679372197309417,0.828459868951419,0.4769319489069731,0.0422929937404043,18.0,24.0,21.0,24.0,21.75,ok,cpu_knn,knn,cpu,none
cpu_naive_bayes,platt,0.35,0.7433636123114913,0.7580687483600105,0.6650552486187845,0.808033512113684,0.5030591967861641,0.0338521785273544,21.0,28.0,26.0,21.0,24.0,ok,cpu_naive_bayes,naive_bayes,cpu,none
cpu_naive_bayes,base,0.35,0.7318105653055825,0.8021516662293361,0.6678317859093391,0.808033512113684,0.9721007654772922,0.1828061092371448,25.0,21.0,28.0,28.0,25.5,ok,cpu_naive_bayes,naive_bayes,cpu,none
