config_key,model_name,sampling,rank,class_weight_applied,params,cv_f1,cv_auc,cv_accuracy,cv_precision,cv_recall,cal_f1,cal_auc,cal_accuracy,cal_precision,cal_recall,model_path
RandomForest__class_weight,RandomForest,class_weight,1,True,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6543652623497799,0.7190060568136702,0.6526422941569962,0.5868838588779932,0.7394052071735515,0.6595847937449447,0.7263140493299107,0.6572653980835528,0.5906895885648059,0.7466731778781589,models\RandomForest__class_weight_rank1.joblib
RandomForest__class_weight,RandomForest,class_weight,2,True,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}",0.6541763628536252,0.7191255799776644,0.6528284326556729,0.5872204759756474,0.7383849495928967,0.6599313865852671,0.7267329820881347,0.6582697684519124,0.5918980471967825,0.7456354535465755,models\RandomForest__class_weight_rank2.joblib
RandomForest__class_weight,RandomForest,class_weight,3,True,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.654063132119812,0.7190680183888224,0.6523979873774831,0.5866976472738108,0.7389343393924168,0.6591982723714401,0.7263729822869851,0.6572925432286436,0.5909112907128684,0.7453302405078744,models\RandomForest__class_weight_rank3.joblib
RandomForest__smote,RandomForest,smote,1,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6531263872916744,0.7186756649847561,0.6532007096530262,0.588203618024064,0.7341862534371881,0.6577173913043478,0.7260019015979318,0.6580797524362768,0.5927123126652953,0.7387376388719326,models\RandomForest__smote_rank1.joblib
RandomForest__smote,RandomForest,smote,2,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}",0.6529822669802778,0.718672367958441,0.6532646947619464,0.5883573745778471,0.7335845957510839,0.6582910482185982,0.7258484401777103,0.6581611878715492,0.5925455522446388,0.7404468318886582,models\RandomForest__smote_rank2.joblib
RandomForest__smote,RandomForest,smote,3,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}",0.6529574168676112,0.718576302793805,0.6529215019050112,0.5879021640746087,0.7342254981931304,0.6580168833636437,0.7260754767838853,0.6579983170010044,0.592453199081089,0.7398974484189964,models\RandomForest__smote_rank3.joblib
RandomForest__adasyn,RandomForest,adasyn,1,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6436304274619319,0.7196931626017586,0.6570689003286508,0.5983252490074584,0.6963716363845089,0.6499690785405071,0.7273278036136879,0.6619886533293521,0.6023864110045852,0.7057135880844829,models\RandomForest__adasyn_rank1.joblib
RandomForest__adasyn,RandomForest,adasyn,2,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6435595420021853,0.7196042085120415,0.6565628362853736,0.5976033535227125,0.697182595728757,0.6498140006763612,0.7271309824567955,0.6626944271017129,0.6035493665584756,0.7037602246367964,models\RandomForest__adasyn_rank2.joblib
RandomForest__adasyn,RandomForest,adasyn,3,False,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 100}",0.643294411942749,0.7192962474657089,0.657033999360149,0.5984493294790956,0.6954298725929097,0.6494222172238311,0.7267622292465533,0.6615271858628085,0.6019807140995569,0.7049810767916005,models\RandomForest__adasyn_rank3.joblib
RandomForest__smote_class_weight,RandomForest,smote_class_weight,1,True,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__min_samples_split"": 5, ""model__n_estimators"": 200}",0.6531263872916744,0.7186756649847561,0.6532007096530262,0.588203618024064,0.7341862534371881,0.6577173913043478,0.7260019015979318,0.6580797524362768,0.5927123126652953,0.7387376388719326,models\RandomForest__smote_class_weight_rank1.joblib
