scaler_key,scaler,model,strategy,cv_best_f1,grid_rows,grid_seconds,fit_seconds,accuracy,precision,recall,f1,auc,logloss,best_params
min_max_scaling,Min-Max,LightGBM,base,0.6439156005548664,30000,3.9931563999853097,1.1476919000269845,0.7531582776638667,0.6228543701097835,0.6735095428608907,0.6471922858763471,0.8228104882565113,0.4714474379377348,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 150, ""num_leaves"": 2}"
min_max_scaling,Min-Max,LightGBM,adasyn,0.7578882713021069,38810,5.520777600002475,2.2737011999706738,0.7271865423198184,0.5601877068756023,0.8768938151767561,0.6836426854834586,0.8212902235974053,0.5122923927370344,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 250, ""num_leaves"": 2}"
min_max_scaling,Min-Max,LightGBM,smote,0.7857070931221277,39830,5.207344499998726,2.0746843999950215,0.7361818462420354,0.5713850572211827,0.8612186003804027,0.6869833629800146,0.8222634657814549,0.5076327105573584,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 250, ""num_leaves"": 2}"
min_max_scaling,Min-Max,LightGBM,class_weight,0.6851110855087866,30000,4.017902599996887,1.6331271000090055,0.7368873602751504,0.5722952035962118,0.8600380402702171,0.6872641509433962,0.8235805380925805,0.5072354820644165,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 250, ""num_leaves"": 2}"
min_max_scaling,Min-Max,LightGBM,smote_class_weight,0.7857070931221277,39830,5.339938199962489,2.06709739996586,0.7361818462420354,0.5713850572211827,0.8612186003804027,0.6869833629800146,0.8222634657814549,0.5076327105573584,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 250, ""num_leaves"": 2}"
min_max_scaling,Min-Max,LightGBM,adasyn_class_weight,0.7609908750182425,38810,5.35936500004027,2.007318399962969,0.7166920210772317,0.5482196741098371,0.893684003410507,0.679567103885093,0.8212242851395739,0.5232475071702608,"{""learning_rate"": 0.05, ""max_depth"": 1, ""n_estimators"": 250, ""num_leaves"": 2}"
robust_scaling,Robust,LogReg,base,0.6034551638962574,30000,31.985522600007243,21.25680780003313,0.7460590427056463,0.639610632721827,0.5602413589558601,0.5973008880497868,0.8203841048313331,0.48863432463434625,"{""C"": 1.0}"
robust_scaling,Robust,LogReg,adasyn,0.7589737347531399,39385,37.88105809997069,28.493835200031754,0.7446039200123465,0.5888689407540395,0.7959598609562537,0.676929941990183,0.8194597607683091,0.5315800892872593,"{""C"": 1.0}"
robust_scaling,Robust,LogReg,smote,0.7687180329872477,39830,38.29606659995625,29.89751049998449,0.7476023546530856,0.5953995278991512,0.7775300059028005,0.6743842084305137,0.8204506934924799,0.526315423380787,"{""C"": 0.5}"
robust_scaling,Robust,LogReg,class_weight,0.673237343091812,30000,34.29678190004779,22.04539929999737,0.7472275503229932,0.5943895377857642,0.7810060995605693,0.6750375556248406,0.820691246936829,0.5269304075976221,"{""C"": 1.0}"
robust_scaling,Robust,LogReg,smote_class_weight,0.7684711659183178,39830,41.6755933999666,22.4603559000534,0.7477125912207597,0.5954148690679242,0.7784482193218338,0.674739205821324,0.8203851874144077,0.5263040818328859,"{""C"": 1.0}"
robust_scaling,Robust,LogReg,adasyn_class_weight,0.7608913946116891,39385,31.591191700019408,16.523308600008022,0.7442291156822541,0.588529526029526,0.7948448875188562,0.6763023521861659,0.819804904371429,0.5326522607179801,"{""C"": 1.0}"
robust_scaling,Robust,RandomForest,base,0.0,30000,39.36478649999481,3.9213089999975637,0.6638446105342064,0.0,0.0,0.0,0.7886913927479176,0.5751761475559718,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
robust_scaling,Robust,RandomForest,adasyn,0.7506144193436595,39385,48.76207549998071,4.839645900006872,0.6915360363339728,0.5283495846876128,0.767626418311799,0.6258990882109148,0.7765231132466629,0.6158184326740228,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
robust_scaling,Robust,RandomForest,smote,0.7605255100425851,39830,49.64568350004265,5.074473699962255,0.698062041140287,0.5356552104392575,0.764609431363547,0.6299748723352517,0.7802190899824101,0.6135106344820261,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
robust_scaling,Robust,RandomForest,class_weight,0.6469222192947601,30000,45.15189290000126,4.352408500039019,0.6983266089027053,0.5331693247370207,0.8244244769462845,0.6475542848311567,0.7805624964426691,0.6209562588664715,"{""max_depth"": 1, ""max_leaf_nodes"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
